id,year,url_live,url_wayback,texto
2020-0012,2020,https://www.aepd.es/es/documento/2020-0012.pdf,https://web.archive.org/web/20201117172754id_/https://www.aepd.es/es/documento/2020-0012.pdf,"Gabinete Jurídico    c. Jorge Juan 6                                                                                                                                                                www.aepd.es  28001 Madrid  1        N/REF: 0012/2020            Antes de entrar a analizar el texto sometido a informe es preciso señalar  que, habida cuenta de la fundamentación legal del informe que inmediatamente  va a evacuarse y su carácter preceptivo, a tenor de lo dispuesto en las normas  que acaban de señalar, debería indicarse en la Exposición de Motivos de la  norma que la misma ha sido sometida al previo informe de la Agencia Española  de Protección de Datos.      I  El proyecto remitido tiene por objeto el desarrollo de la Ley 13/2011, de  27 de mayo, de regulación del juego, en lo que se refiere a:    a) Las condiciones bajo las cuales las entidades que ostentan títulos  habilitantes para desarrollar actividades de juego incluidas en el  ámbito de aplicación de la Ley 13/2011, de 27 de mayo, pueden  desarrollar actividades de publicidad, patrocinio, promoción o  cualquier otra forma de comunicación comercial de su actividad.  b) Las condiciones bajo las que deben desarrollarse políticas de juego  responsable y de protección de los consumidores de las entidades  que ostentan títulos habilitantes para desarrollar actividades de juego  incluidas en el ámbito de aplicación de la Ley 13/2011, de 27 de  mayo.    Una versión anterior de este proyecto de Real Decreto fue informada por  esta Agencia el 27 de abril de 2018. Dicho informe ya tuvo en consideración el  Reglamento (UE) 2016/679 del Parlamento Europeo y del Consejo de 27 de  abril de 2016 relativo a la protección de las personas físicas en lo que respecta  al tratamiento de datos personales y a la libre circulación de estos datos y por  el que se deroga la Directiva 95/46/CE (Reglamento general de protección de  datos, RGPD), al ser la norma previsiblemente aplicable en el momento de su  aprobación final. Asimismo, se tuvo en consideración el texto del Proyecto de  Ley Orgánica de Protección de Datos de Carácter Personal, entonces en  tramitación en las Cortes Generales.    Las observaciones emitidas en el Informe de 27 de abril de 2018 se han  incorporado en su totalidad al nuevo texto que ahora se informa.     No obstante, debe realizarse una precisión en cuanto a la observación  relacionada con la regulación de las comunicaciones comerciales a través de                                                             Gabinete Jurídico    c. Jorge Juan 6                                                                                                                                                                www.aepd.es  28001 Madrid  2    correo electrónico u otros medios equivalentes, contenida en al apartado 1 del  actual artículo 24 del proyecto. En relación con las mismas, esta Agencia  señaló que “sería preciso recordar que el envío de comunicaciones comerciales  a través de medios el"
2020-0029,2020,https://www.aepd.es/es/documento/2020-0029.pdf,https://web.archive.org/web/20230530041418id_/https://www.aepd.es/es/documento/2020-0029.pdf,"Gabinete Jurídico N/REF: 0029/2020 Antes de entrar a analizar el texto sometido a informe es preciso señalar que, habida cuenta de la fundamentación legal del informe que inmediatamente va a evacuarse y su carácter preceptivo, a tenor de lo dispuesto en las normas que acaban de señalar, debería indicarse en la Exposición de Motivos de la norma que la misma ha sido sometida al previo informe de la Agencia Española de Protección de Datos. Asimismo, hay que destacar que una versión anterior del presente Anteproyecto fue objeto de estudio por esta Agencia en su informe 122/2018, en el que ya se indicaba cómo, dada su naturaleza, “la práctica totalidad de las disposiciones del mismo se refieren a materias respecto de las que es competente esta Agencia Española de Protección de Datos”, razón por la cual se formularon numerosas observaciones, muchas de las cuales se han tenido en consideración en el nuevo texto remitido. Por lo tanto, el presente informe se centrará,  fundamentalmente, en el análisis de las novedades introducidas en el nuevo texto así como, en su caso, a incidir en aquellas observaciones que no se han recogido en el mismo. I En el Informe 122/2008, esta Agencia ya destacaba cómo la Directiva 2016/680 del Parlamento Europeo y del Consejo, cuya transposición se lleva a cabo por el presente Anteproyecto de Ley, “viene a configurar un régimen especial, al que se someterían únicamente los tratamientos que la misma regula, frente al régimen general de protección de datos que se recoge en el Reglamento general de protección de datos. Por este motivo, las disposiciones del mismo serán de aplicación a todos los tratamientos llevados a cabo dentro del ámbito de aplicación del derecho de la Unión y que no estén regulados específicamente por la Directiva, tal y como se desprende del ámbito de aplicación establecido en el artículo 2 del Reglamento”. Asimismo, se destacaba que el carácter de norma especial era igualmente predicable respecto de la norma que adapte el derecho español al Reglamento General de Protección de Datos (RGPD), constituida en el presente momento por la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales (LOPDGDD), cuyas disposiciones deberían c. Jorge Juan 6                                                                                                                                                               www.aepd.es 28001 Madrid 1                                                            Gabinete Jurídico ser tenidas en cuenta al constituir “la lex generalis aplicable para garantizar el derecho fundamental a la protección de datos de carácter personal”. Partiendo de las anteriores observaciones, el nuevo texto remitido, ha recogido en su artículo 1.1 relativo al objeto de la Ley el texto que, partiendo del inicialmente recogido en el Anteproyecto, había sido propuesto por esta Agencia, con el objeto de incluir la referencia al derecho fundamental del artículo "
2020-0036,2020,https://www.aepd.es/documento/2020-0036.pdf,https://web.archive.org/web/20221211080423id_/https://www.aepd.es/documento/2020-0036.pdf,"Gabinete Jurídico N/REF: 0036/2020 La consulta plantea una serie de cuestiones relativas al uso de técnicas de reconocimiento facial en la realización de pruebas de evaluación online, partiendo de que el estado de alarma declarado por Real Decreto 463/2020, de 14 de marzo, por el que se declara el estado de alarma para la gestión de la situación de crisis sanitaria ocasionada por el COVID-19, ha determinado la migración de todas las actividades docentes a entornos online. Para ello, la consulta parte de que un elemento determinante en la prestación del servicio público de educación superior consiste en la verificación objetiva de los conocimientos de los estudiantes, destacando que “con motivo de la realización de un examen se vienen tratando distintos tipos de datos en el mundo físico. Uno de los tratamientos usuales durante la realización de un examen consiste en la verificación de la identidad de la persona examinada, ya sea a la entrada en el aula, durante la realización de la prueba o al final de la misma a la entrega de la documentación. Para ello se exige la exhibición de un documento identificativo, DNI, tarjeta de residencia, pasaporte, o carné universitario. Como resulta evidente, la presencia física en el aula del profesorado impide que, por ejemplo, un estudiante pudiera abandonar su sitio siendo suplantado en su identidad por otra persona, o que un estudiante realizara la prueba de evaluación haciéndose pasar por otro. Sin embargo, esta posibilidad de control y vigilancia se desaparece por completo cuando se trata de realizar un examen online desde el propio domicilio del estudiante. En este sentido la identificación debe realizarse: ▪ Mediante la asignación de identificadores de acceso a entornos de aula virtual. ▪ Mediante el visionado remoto del estudiante mediante herramientas de videoconferencia o webcams”. No obstante lo anterior, la consulta destaca que “a los medios tradicionales se ha sumado la existencia de herramientas de reconocimiento facial. Estas herramientas en su nivel más preciso deberían poder asegurar la identificación unívoca de la persona examinada e incluso detectar expresiones faciales que identificaran un comportamiento anómalo. En cualquier caso, en su nivel más simple son capaces de establecer un patrón facial de la persona que inicia el examen frente a una pantalla y garantizar que: ▪ La persona no se ha desplazado o abandonado su sitio frente al terminal durante el periodo asignado a la realización de la prueba. ▪ No ha sido sustituida por persona distinta.” c. Jorge Juan 6                                                                                                                                                               www.aepd.es 28001 Madrid 1                                                            Gabinete Jurídico Atendiendo a la definición de datos biométricos recogida en el Reglamento (UE) 2016/679 del Parlamento Europeo y del Consejo, de 27 de abril de 2016, relativo a la protección de"
2020-0037,2020,https://www.aepd.es/documento/2020-0037.pdf,https://web.archive.org/web/20231014022901id_/https://www.aepd.es/documento/2020-0037.pdf,"Gabinete Jurídico N/REF: 0037/2020 En el escrito de consulta se plantean diversas cuestiones relativas a la figura del delegado de protección de datos (DPD), incorporada a nuestro ordenamiento jurídico en virtud de lo dispuesto en el Reglamento (UE) 2016/679 del Parlamento Europeo y del Consejo, de 27 de abril de 2016, relativo a la protección de las personas físicas en lo que respecta al tratamiento de datos personales y a la libre circulación de estos datos por el que se deroga la Directiva 95/46/CE. Por la asociación consultante se interesa el criterio de este Gabinete Jurídico sobre determinadas cuestiones vinculadas al nombramiento de los delegados de protección de datos -DPD- y al desempeño de sus funciones en el ámbito de las entidades a las que se refiere su designación, refiriéndose a la necesidad del cumplimiento de los requisitos formales y materiales establecidos por la normativa aplicable, especialmente en lo relativo a su grado de profesionalización e independencia.  I El Reglamento (UE) 2016/679 del Parlamento Europeo y del Consejo de 27 de abril de 2016, relativo a la protección de las personas físicas en lo que respecta al tratamiento de datos personales y a la libre circulación de estos datos y por el que se deroga la Directiva 95/46/CE (Reglamento General de Protección de Datos -RGPD-), y la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales -LOPDGDD- conforman el marco jurídico de referencia en España que afecta a la protección de datos de carácter personal.  En estas normas se regulan los principios y fundamentos a los que deben ajustarse la recogida y tratamiento de los datos personales por cualquier persona pública o privada que lleve a cabo tratamiento de datos de carácter personal en el ejercicio de su actividad, sin perjuicio de las normas especiales existentes para determinadas actividades o tratamientos, como por ejemplo los tratamientos de datos personales sujetos a la Directiva (UE) 2016/680 del Parlamento Europeo y del Consejo de 27 de abril de 2016 relativa a la protección de las personas físicas en lo que respecta al tratamiento de datos personales por parte de las autoridades competentes para fines de prevención, investigación, detección o enjuiciamiento de infracciones penales o de ejecución de sanciones penales, y a la libre circulación de dichos datos y por la que se deroga la Decisión Marco 2008/977/JAI del Consejo. 1                                                            Gabinete Jurídico Como ha señalado reiteradamente esta Agencia y se recoge en la Exposición de motivos de la LOPDGDD, “la mayor novedad que presenta el Reglamento (UE) 2016/679 es la evolución de un modelo basado, fundamentalmente, en el control del cumplimiento a otro que descansa en el principio de responsabilidad activa, lo que exige una previa valoración por el responsable o por el encargado del tratamiento del riesgo que pudiera generar el tratamiento de los datos de caráct"
2020-0049,2020,https://www.aepd.es/documento/2020-0049.pdf,https://web.archive.org/web/20240321042536id_/https://www.aepd.es/documento/2020-0049.pdf,"Gabinete Jurídico N/REF: 0049/2020 La consulta plantea la posible cesión al CIS, por parte de la Comisión Nacional de los Mercados y la Competencia (CNMC) de los listados de número de teléfono por provincia para el fin exclusivo de la realización de las encuestas pre electorales vascas y gallegas. Dichos números de teléfono no estarían asociados a ningún otro dato identificativo, haciendo referencia exclusivamente a la provincia correspondiente, y no se incluirían los números de aquellas personas que hayan hecho uso de su derecho de oposición a figurar en los listados de teléfonos. A este respecto hay que destacar que, ante la situación derivada de la situación actual causada por la pandemia del coronavirus COVID-19 y las restricciones derivadas de la declaración del estado de alarma por el  Real Decreto 463/2020, de 14 de marzo, y ante la necesidad manifestada por el CIS de tener que sustituir las encuestas domiciliarias y efectuarlas telefónicamente para realizar sus Barómetros mensuales y otras encuestas concretas, esta Agencia ha tenido ocasión de pronunciarse en dos ocasiones, en el Informe 31/2020, de 7 de abril relativo a la posible cesión al CIS, por parte del Instituto Nacional de Estadística (INE) de los teléfonos fijos y móviles de la población seleccionada en las muestras para ejecutar las funciones atribuidas al CIS,  y en el informe 35/2020, de 27 de abril, relativo a la comunicación por laCNMC al CIS de los teléfonos fijos y móviles de la población seleccionada en las muestras nominativas que son elaboradas para el CIS por el INE, solicitando, en ambos casos, una mayor información al objeto de determinar la adecuación de dichas comunicaciones de datos a la normativa sobre protección de datos de carácter personal. I Como ha señalado reiteradamente esta Agencia en los sucesivos informes emitidos durante el estado de alarma, dicha declaración no implica la suspensión del derecho fundamental a la protección de datos, sin perjuicio de que el mismo pueda verse afectado como consecuencia del hecho causal que ha dado lugar a la declaración, previendo el propio RGPD los cauces adecuados que permiten dar respuesta a la situación de crisis sanitaria respetando el derecho fundamental a la protección de datos personales. Por consiguiente, todo tratamiento de datos personales que deba realizarse como consecuencia de la pandemia y de la declaración del estado de alarma deberá respetar el derecho fundamental a la protección de datos personales, ajustándose a las previsiones del RGPD, el cual permite, como hemos visto, establecer  reglas específicas respecto del ejercicio de dicho derecho, ajustado al propio RGPD, así como a la doctrina elaborada por el Tribunal Constitucional c. Jorge Juan 6                                                                                                                                                               www.aepd.es 28001 Madrid 1                                                                   Gabinete "
2020-0057,2020,https://www.aepd.es/documento/2020-0057.pdf,https://web.archive.org/web/20240528033434id_/https://www.aepd.es/documento/2020-0057.pdf,"Gabinete Jurídico N/REF: 0057/2020 La consulta plantea si el contenido del derecho al olvido previsto en el artículo 17 del Reglamento 2016/679 del Parlamento Europeo y del Consejo, de 27 de abril de 2016, relativo a la protección de las personas físicas en lo que respecta al tratamiento de datos personales y a la libre circulación de estos datos (RGPD) y en el artículo 93 de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, (LOPDGDD), abarca los resultados de la búsqueda en internet cuando esta se realice a partir de otras informaciones, que no sean necesariamente el nombre. I Como punto de partida debe acudirse a lo indicado en los preceptos que han de ser objeto de interpretación, así el artículo 17 del RGPD, bajo la denominación ““Derecho de supresión («el derecho al olvido»)"" dispone lo siguiente: 1. El interesado tendrá derecho a obtener sin dilación indebida del responsable del tratamiento la supresión de los datos personales que le conciernan, el cual estará obligado a suprimir sin dilación indebida los datos personales cuando concurra alguna de las circunstancias siguientes: a) los datos personales ya no sean necesarios en relación con los fines para los que fueron recogidos o tratados de otro modo; b) el interesado retire el consentimiento en que se basa el tratamiento de conformidad con el artículo 6, apartado 1, letra a), o el artículo 9, apartado 2, letra a), y este no se base en otro fundamento jurídico; c) el interesado se oponga al tratamiento con arreglo al artículo 21, apartado 1, y no prevalezcan otros motivos legítimos para el tratamiento, o el interesado se oponga al tratamiento con arreglo al artículo 21, apartado 2; d) los datos personales hayan sido tratados ilícitamente; e) los datos personales deban suprimirse para el cumplimiento de una obligación legal establecida en el Derecho de la Unión o de los Estados miembros que se aplique al responsable del tratamiento; f) los datos personales se hayan obtenido en relación con la oferta de servicios de la sociedad de la información mencionados en el artículo 8, apartado 1. c. Jorge Juan 6                                                                                                                                                           www.aepd.es 28001 Madrid   1                                                              Gabinete Jurídico 2. Cuando haya hecho públicos los datos personales y esté obligado, en virtud de lo dispuesto en el apartado 1, a suprimir dichos datos, el responsable del tratamiento, teniendo en cuenta la tecnología disponible y el coste de su aplicación, adoptará medidas razonables, incluidas medidas técnicas, con miras a informar a los responsables que estén tratando los datos personales de la solicitud del interesado de supresión de cualquier enlace a esos datos personales, o cualquier copia o réplica de los mismos. 3. Los apartados 1 y 2 no se aplicarán cuando el tratamiento sea nec"
2020-0059,2020,https://www.aepd.es/documento/2020-0059.pdf,https://web.archive.org/web/20231014113739id_/https://www.aepd.es/documento/2020-0059.pdf,"Gabinete Jurídico N/REF: 0059/2020 Examinada su solicitud de informe, remitida a este Gabinete Jurídico, referente al Código de conducta de tratamiento de datos en la actividad publicitaria presentado por la Asociación para la Autorregulación de la Comunicación Comercial (“AUTOCONTROL”), cúmpleme informarle lo siguiente: I Este Gabinete Jurídico viene destacando reiteradamente, en los distintas consulta sometidas a su informe, el cambio de paradigma que ha supuesto la plena aplicación del Reglamento (UE) 2016/679 del Parlamento Europeo y el Consejo, de 27 de abril de 2016, relativo a la protección de las personas físicas en lo que respecta al tratamiento de sus datos personales y a la libre circulación de estos datos, en cuanto basado en el principio de “accountability” o responsabilidad proactiva, tal y como se recoge en la Exposición de motivos de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales: “la mayor novedad que presenta el Reglamento (UE) 2016/679 es la evolución de un modelo basado, fundamentalmente, en el control del cumplimiento a otro que descansa en el principio de responsabilidad activa, lo que exige una previa valoración por el responsable o por el encargado del tratamiento del riesgo que pudiera generar el tratamiento de los datos de carácter personal para, a partir de dicha valoración, adoptar las medidas que procedan”. En consecuencia, en virtud de dicho principio, el responsable del tratamiento deberá aplicar medidas técnicas y organizativas apropiadas a fin de garantizar y poder demostrar que el tratamiento es conforme con el Reglamento. Dentro de los diferentes instrumentos previstos por el propio RGPD para garantizar el cumplimiento de dicho principio se encuentran los códigos de conducta, ya previstos en la normativa anterior como mecanismo de autorregulación  tendente a facilitar el cumplimiento de la normativa en materia de protección de datos personales. A este respecto, el Grupo del 29, en su documento de trabajo sobre el procedimiento de examen de los códigos de conducta comunitarios, aprobado el 10 de septiembre de 1998 (WP13), ya había venido definiendo los elementos esenciales de los mismos, destacando que los códigos debían tener la suficiente claridad y coherencia interna y proporcionar un valor añadido suficiente, en términos de estar suficientemente centrados en las cuestiones y problemas específicos de protección de datos en la organización o sector para el que se pretende aplicar y ofrecer soluciones c. Jorge Juan 6                                                                                                                                                               www.aepd.es 28001 Madrid 1                                                            Gabinete Jurídico suficientemente claras para aquellas preguntas y problemas, facilitando, en la medida en que sea posible, ejemplos de buenas prácticas, preparándose, preferiblemente, en consu"
2020-0064,2020,https://www.aepd.es/documento/2020-0064.pdf,https://web.archive.org/web/20231014124034id_/https://www.aepd.es/documento/2020-0064.pdf,"Gabinete Jurídico N/REF: 0064/2020 La consulta plantea la posición jurídica que, en relación con el tratamiento de datos de carácter personal, pueda corresponder a las empresas que subcontrata la Sociedad Estatal Correos y Telégrafos SA SME (en lo sucesivo, Correos) para el transporte del correo desde un centro logístico de Correos a otro centro logístico de Correos, al objeto de determinar si la empresa subcontratada ostenta la condición de encargado del tratamiento o se trataría de un servicio sin acceso a datos de carácter personal por parte del transportista. Tal y como se señala en la consulta, Correos, en su condición de operador postal presta a sus clientes (personas jurídicas y personas físicas) los siguientes servicios postales: servicios de envíos generales, servicios de envíos certificados y servicios de envíos con valor declarado. Las operaciones del servicio postal en su conjunto son las siguientes: recogida, admisión, clasificación, gestión, curso, transporte, distribución y entrega. La prestación del servicio de transporte del correo por carretera, en muchas ocasiones, se subcontrata con empresas de transporte (empresas o autónomos). Dicho servicio llevado a cabo por el transportista consiste en recoger el correo (cartas y paquetes) que se va a transportar desde un centro logístico de Correos a otro centro logístico de Correos, es decir, en ningún caso este servicio de transporte conlleva la entrega de la correspondencia a los destinatarios de los envíos sino que la mercancía es recogida y entregada siempre en un centro de Correos. La carga y descarga de la mercancía del vehículo del transportista en la mayoría de las ocasiones se lleva a cabo por personal propio de Correos pero, en otras ocasiones (en rutas provinciales y en paradas intermedias de la ruta) dicha actividad es llevada a cabo por el transportista subcontratado. En todo caso, tanto si la carga y descarga la realiza personal de Correos como si es llevado a cabo por el transportista, es éste último (el transportista) el que establece la organización de la carga dentro del vehículo a efectos de seguridad y preservación de la misma. La mercancía (cartas y paquetes) se carga en el vehículo debidamente categorizada y ordenada mediante palets, carros, jaulas y bandejas. Si bien en la mayoría de los casos la mercancía no va embalada, es decir, no va cubierta por embalaje ni por cualquier otro sistema que de manera efectiva impida ver la información del etiquetado de la mercancía, en el caso de las cartas no se visualizan los datos de sus etiquetas en la medida en que por protocolo, se 1                                                            Gabinete Jurídico colocan una detrás de la otra (no se colocan “tumbadas”, sino dispuestas de forma vertical una detrás de la otra sin que ello permita visualizar datos personales de sus etiquetas). No ocurre lo mismo con los paquetes que, en algunas circunstancias excepcionales, el trasportista sí puede visualizar la etiqueta de los m"
2020-0073,2020,https://www.aepd.es/documento/2020-0073.pdf,https://web.archive.org/web/20230921132042id_/https://www.aepd.es/documento/2020-0073.pdf,"Gabinete Jurídico N/REF: 0073/2020 Examinada su solicitud de informe urgente, remitida a este Gabinete Jurídico, referente al Anteproyecto de Ley por el que se regula el trabajo a distancia, solicitado de esta Agencia Española de Protección de Datos de conformidad con lo dispuesto en los artículos 57.1.c) del Reglamento (UE) 2016/679, del Parlamento Europeo y del Consejo, de 27 de abril de 2016, relativo a la protección de las personas físicas en lo que respecta al tratamiento de datos personales y a la libre circulación de estos datos por el que se deroga la Directiva 95/46/CE (Reglamento general de protección de datos) y 5 b) del Estatuto de la Agencia, aprobado por Real Decreto 428/1993, de 26 de marzo, cúmpleme informarle lo siguiente: Antes de entrar a analizar el texto sometido a informe es preciso señalar que, habida cuenta de la fundamentación legal del informe que inmediatamente va a evacuarse y su carácter preceptivo, a tenor de lo dispuesto en las normas que acaban de señalar, debería indicarse en la Exposición de Motivos de la norma que la misma ha sido sometida al previo informe de la Agencia Española de Protección de Datos. Asimismo, deberá recogerse la emisión del presente informe y su valoración en la Memoria de Análisis de Impacto Normativo. Por otro lado, habiéndose autorizado por Acuerdo del Consejo de Ministros del pasado 23 de junio la tramitación administrativa urgente prevista en el artículo 27.1.b) de la Ley 50/1997, de 27 de noviembre, del Gobierno, y habiéndose solicitado el informe el 11 de septiembre, se procede a su emisión a la mayor brevedad, sin perjuicio de que hubiera sido deseable un análisis más detenido del mismo, dada la implicación que su regulación tiene en el derecho fundamental a la protección de datos de carácter personal. I El Anteproyecto remitido tiene por objeto la regulación del trabajo a distancia, entendido como “forma de organización del trabajo o de realización de la actividad laboral conforme a la cual esta se presta en el domicilio de la persona trabajadora o en el lugar elegido por esta, durante toda su jornada o parte de ella, con carácter regular”  y  del que es una subespecie el “teletrabajo”, definido como “aquel trabajo a distancia que se lleva a cabo mediante el uso exclusivo o prevalente de medios y sistemas informáticos, telemáticos y de telecomunicación”, siendo de aplicación, según su artículo 1, a las relaciones de trabajo “en las que concurran las condiciones descritas en el artículo 1.1 del texto refundido de la Ley del Estatuto de los Trabajadores aprobado por Real Decreto Legislativo 2/2015, de 23 de octubre, que se c. Jorge Juan 6                                                                                                                                                               www.aepd.es 28001 Madrid 1                                                            Gabinete Jurídico desarrollen a distancia con carácter regular. Se entenderá que el trabajo a distancia es r"
2020-0074,2020,https://www.aepd.es/documento/2020-0074.pdf,https://web.archive.org/web/20231014091640id_/https://www.aepd.es/documento/2020-0074.pdf,"Gabinete Jurídico N/REF: 0074/2020 Examinada su solicitud de informe, remitida a este Gabinete Jurídico, referente al Anteproyecto de Ley de Memoria Democrática, solicitado de esta Agencia Española de Protección de Datos (AEPD) de conformidad con lo dispuesto en los artículos 57.1.c) del Reglamento (UE) 2016/679, del Parlamento Europeo y del Consejo, de 27 de abril de 2016, relativo a la protección de las personas físicas en lo que respecta al tratamiento de datos personales y a la libre circulación de estos datos por el que se deroga la Directiva 95/46/CE (Reglamento general de protección de datos, RGPD) y 5 b) del Estatuto de la Agencia, aprobado por Real Decreto 428/1993, de 26 de marzo, cúmpleme informarle lo siguiente: Se somete a informe el Anteproyecto de Ley de Memoria Democrática. Dicho anteproyecto se ha presentado a esta AEPD para informe junto con su memoria de análisis de impacto normativo (MAIN). En esta MAIN, en su apartado 5.3, se contiene la precisión de que la petición de informe a esta Agencia Española de protección de datos tiene por objeto “garantizar la coherencia [del texto legal] con la normativa de protección de datos de carácter personal”. Con dicha finalidad se emite el siguiente Informe al anteproyecto de ley respecto de aquellos artículos o disposiciones que afectan a esta materia. I Hay que referirse en primer lugar a lo establecido en el artículo 9 del anteproyecto, que plantea la elaboración de un Censo Nacional de Víctimas de la Guerra Civil y la Dictadura, con independencia de su nacionalidad, conformado con los datos suministrados por las diferentes administraciones públicas, víctimas, organizaciones memorialistas, grupos de investigación universitarios y cualquier otra fuente, nacional e internacional que cuente con información relevante para el mismo. El anteproyecto maneja un concepto de víctima (art. 3) que incluye tanto a personas fallecidas o desaparecidas cuanto a personas que pueden estar aún en vida. Por eso el anteproyecto debería de diferenciar claramente entre los datos personales que puedan corresponder a personas fallecidas y a personas aún en vida. Respecto de las primeras, el RGPD no se aplica (Considerando 27 RGPD y art. 2.b) de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, LOPDGDD) -si bien sí se aplica el RGPD al tratamiento datos personales que se realicen con fines de investigación histórica, lo que incluye la investigación histórica y la investigación para fines genealógicos-, si bien teniendo en cuenta -como ya se ha mencionado- que el RGPD no es de aplicación a personas fallecidas (Considerando 160 RGPD). Aun así, el art. 3 de la LOPDGDD establece que Las personas vinculadas al fallecido por c. Jorge Juan 6                                                                                                                                                               www.aepd.es 28001 Madrid 1                                 "
